County	Population	InsecurityRate	NumberInsecure	Below200Pov	Above200Pov
Albany 	305279	0.133	40650	0.58	0.42
Clinton 	81865	0.137	11250	0.64	0.36
Columbia 	62674	0.110	6860	0.63	0.37
Delaware 	47491	0.126	5970	0.73	0.27
Dutchess 	297385	0.104	30890	0.53	0.47
Essex 	39181	0.129	5060	0.64	0.36
Franklin 	51676	0.145	7510	0.69	0.31
Fulton 	55165	0.142	7810	0.75	0.25
Greene 	48928	0.128	6270	0.64	0.36
Hamilton 	4813	0.107	520	0.60	0.40
Montgomery 	50019	0.135	6750	0.78	0.22
Orange 	373902	0.102	38230	0.64	0.36
Otsego 	62029	0.124	7670	0.72	0.28
Putnam 	99718	0.064	6330	0.55	0.45
Rensselaer 	159565	0.126	20090	0.60	0.40
Rockland 	315069	0.097	30560	0.70	0.30
Saratoga 	221169	0.097	21520	0.48	0.52
Schenectady 	154821	0.125	19400	0.62	0.38
Schoharie 	32404	0.117	3790	0.65	0.35
Sullivan 	77134	0.137	10540	0.76	0.24
Ulster 	182086	0.118	21570	0.66	0.35
Warren 	65584	0.119	7830	0.60	0.40
Washington 	63237	0.120	7610	0.70	0.30